epoch: 1; mse: 0.21524; latent: 0.135; avg mse: 0.24881; lr: 0.00030: 100%|██████████| 782/782 [01:14<00:00, 10.50it/s]
epoch: 2; mse: 0.04481; latent: 0.011; avg mse: 0.14597; lr: 0.00030: 100%|██████████| 782/782 [01:16<00:00, 10.23it/s]
epoch: 3; mse: 0.02271; latent: 0.020; avg mse: 0.02879; lr: 0.00030: 100%|██████████| 782/782 [01:21<00:00,  9.57it/s]
epoch: 4; mse: 0.01984; latent: 0.016; avg mse: 0.02186; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.48it/s]
epoch: 5; mse: 0.02370; latent: 0.021; avg mse: 0.01916; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.50it/s]
epoch: 6; mse: 0.01637; latent: 0.012; avg mse: 0.01766; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.52it/s]
epoch: 7; mse: 0.01681; latent: 0.013; avg mse: 0.01662; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.51it/s]
epoch: 8; mse: 0.01675; latent: 0.014; avg mse: 0.01601; lr: 0.00030: 100%|██████████| 782/782 [01:25<00:00,  9.20it/s]
epoch: 9; mse: 0.01387; latent: 0.016; avg mse: 0.01495; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.43it/s]
epoch: 10; mse: 0.01520; latent: 0.016; avg mse: 0.01428; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.53it/s]
epoch: 11; mse: 0.01312; latent: 0.015; avg mse: 0.01363; lr: 0.00030: 100%|██████████| 782/782 [01:22<00:00,  9.52it/s]
epoch: 12; mse: 0.01297; latent: 0.016; avg mse: 0.01331; lr: 0.00030: 100%|██████████| 782/782 [01:28<00:00,  8.85it/s]
epoch: 13; mse: 0.01227; latent: 0.018; avg mse: 0.01271; lr: 0.00030: 100%|██████████| 782/782 [02:31<00:00,  5.17it/s]
epoch: 14; mse: 0.01063; latent: 0.016; avg mse: 0.01237; lr: 0.00030: 100%|██████████| 782/782 [02:42<00:00,  4.80it/s]
epoch: 15; mse: 0.01023; latent: 0.018; avg mse: 0.01218; lr: 0.00030: 100%|██████████| 782/782 [02:43<00:00,  4.77it/s]
epoch: 16; mse: 0.01302; latent: 0.019; avg mse: 0.01204; lr: 0.00030: 100%|██████████| 782/782 [02:42<00:00,  4.80it/s]
epoch: 17; mse: 0.01149; latent: 0.019; avg mse: 0.01192; lr: 0.00030: 100%|██████████| 782/782 [02:44<00:00,  4.75it/s]
epoch: 18; mse: 0.01143; latent: 0.019; avg mse: 0.01189; lr: 0.00030: 100%|██████████| 782/782 [02:43<00:00,  4.77it/s]
epoch: 19; mse: 0.01240; latent: 0.021; avg mse: 0.01180; lr: 0.00030: 100%|██████████| 782/782 [02:40<00:00,  4.87it/s]
